epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2118,3.13712,5.075,1.87347,0.00101,0.13333,0.0012,0.00033,3.73494,4.17994,1.80576,1.818e-05,1.818e-05,1.818e-05
2,24.4113,3.12925,4.97153,1.8727,0.00366,0.33672,0.00598,0.00216,3.52201,3.99859,1.76349,4.47001e-05,4.47001e-05,4.47001e-05
3,25.8836,2.90915,4.57399,1.77204,0.01383,0.72401,0.28081,0.0825,2.93841,3.25734,1.67388,7.03202e-05,7.03202e-05,7.03202e-05
4,27.3592,2.3381,3.08372,1.39256,0.71712,0.41688,0.52835,0.25794,2.09933,3.06972,1.2225,9.50405e-05,9.50405e-05,9.50405e-05
5,28.6901,2.01062,2.34331,1.20207,0.73409,0.49089,0.67287,0.35001,1.91271,3.0581,1.1372,0.000118861,0.000118861,0.000118861
6,30.9689,1.99201,1.81987,1.10938,0.79061,0.70303,0.95326,0.55235,1.82042,2.34131,1.04892,0.000141781,0.000141781,0.000141781
7,32.5562,1.89799,1.68298,1.04379,0.82518,0.66397,0.93092,0.52652,1.83825,2.82262,1.01205,0.000163802,0.000163802,0.000163802
8,33.885,1.84553,1.60899,1.04776,0.89118,0.68691,0.87628,0.54047,1.75218,2.38457,0.99816,0.000184922,0.000184922,0.000184922
9,35.228,1.85505,1.41316,1.01338,0.65418,0.96641,0.98588,0.64126,1.76854,1.40368,1.01947,0.000205143,0.000205143,0.000205143
10,36.6874,1.8364,1.42776,1.03079,0.73429,0.92655,0.93763,0.56755,1.83806,1.43014,1.03626,0.000224464,0.000224464,0.000224464
11,38.1009,1.82919,1.35198,1.01376,0.74626,0.92655,0.93782,0.53926,1.9478,1.6571,1.03823,0.000242885,0.000242885,0.000242885
12,39.5039,1.6913,1.22835,0.95031,0.609,0.90706,0.81497,0.51153,1.80072,1.33085,1.03721,0.000260406,0.000260406,0.000260406
13,40.7917,1.69554,1.2312,0.99303,0.95239,0.71638,0.94226,0.63716,1.72104,1.32614,1.0056,0.000277027,0.000277027,0.000277027
14,42.4352,1.6509,1.18271,0.98721,0.64108,0.92316,0.93495,0.61186,1.79073,1.33939,1.01133,0.000292748,0.000292748,0.000292748
15,44.2953,1.72302,1.18138,0.98616,0.76556,0.8985,0.91915,0.60843,1.77447,1.29413,0.99407,0.000307569,0.000307569,0.000307569
16,45.6642,1.73514,1.11996,0.98861,0.74918,0.90228,0.92531,0.67048,1.71942,1.29832,0.98786,0.000321491,0.000321491,0.000321491
17,47.125,1.69123,1.12254,0.99102,0.91444,0.70521,0.92904,0.692,1.68578,1.15475,0.98245,0.000334512,0.000334512,0.000334512
18,48.579,1.71867,1.07263,0.97153,0.74014,0.92316,0.91906,0.62341,1.75526,1.01351,0.99704,0.000346634,0.000346634,0.000346634
19,49.7927,1.68439,1.12182,1.01879,0.83709,0.91299,0.90817,0.56984,1.89559,1.03226,1.02612,0.000357855,0.000357855,0.000357855
